country,region,un_region,year,gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,income_difference_top-mid60,comm_import_capita,comm_export_capita
Jamaica,Caribbean,Latin America & Caribbean,2005,7735.11,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,4.61642,90.57089,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,1824.834057626408,565.7618723856992
Jamaica,Caribbean,Latin America & Caribbean,2010,8122.35,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,6.3713,92.82521,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,1911.274875854824,485.6080575120634
Japan,East Asia,East Asia & Pacific,2005,32169.87,3.181818182,3.318181818,3.5,2.863636364,3.14,3.727272727272727,3.48391,100.99853,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,4037.3661702785407,4656.233052288042
Japan,East Asia,East Asia & Pacific,2008,35273.79,3.045454545,3.363636364,3.409090909,3.0,3.181818182,3.8181818181818175,3.44024,100.64297,12.1,17.0,22.9,41.5,26.1,52.0,-25.9,5954.36559443399,6101.779306606904
Japan,East Asia,East Asia & Pacific,2010,35335.37,3.045454545,3.363636364,3.727272727,3.0,3.263636364,3.954545454545455,3.78135,101.6095,12.7,16.5,22.2,40.5,25.7,51.4,-25.7,5419.373467439681,6010.571035215116
Japan,East Asia,East Asia & Pacific,2013,39402.03,2.9,3.3,3.4,3.1,3.133333333,3.966666666666667,3.8185,101.91998,12.8,16.6,21.7,41.1,26.4,51.1,-24.700000000000003,6537.455849378163,5611.026279971753
Jordan,Middle East,Middle East & North Africa,2010,9912.17,3.5,2.5,3.25,2.5,3.2,4.25,4.81376,88.51937,12.1,15.8,21.5,42.4,27.5,49.4,-21.9,2201.9092894825158,1013.2558122926604
Kazakhstan,Europe,Europe & Central Asia,2005,13941.5,3.55,4.1,3.6,2.65,3.62,3.95,2.26353,96.59815,10.3,15.2,22.5,46.1,29.7,48.0,-18.3,1144.3272833240103,1838.3859199054807
Kazakhstan,Europe,Europe & Central Asia,2006,15742.06,3.45,4.1,3.6,2.65,3.6,4.0,2.62679,99.37904,13.1,16.6,21.9,39.5,24.9,51.6,-26.700000000000003,1545.653387539983,2498.3153086751217
Kazakhstan,Europe,Europe & Central Asia,2010,19227.18,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,4.81376,97.7345,13.5,17.1,22.3,37.7,23.1,52.900000000000006,-29.800000000000004,1471.8671205729345,3507.1996605536424
Kazakhstan,Europe,Europe & Central Asia,2015,23224.12,3.4,4.1,3.5,2.6,3.6,4.0,4.81376,109.1081,13.7,17.2,22.2,36.9,22.6,53.1,-30.499999999999996,1742.432738069383,2619.5596104180827
Kenya,Eastern Africa,Africa Eastern and Southern,2005,2185.6,4.0,3.0,3.0,3.0,3.1,4.0,7.33565,47.8988,9.1,13.4,20.4,52.2,36.8,42.9,-6.100000000000001,163.1048416134694,95.41332502487931
Lebanon,Middle East,Middle East & North Africa,2005,10079.38,3.0,2.75,3.25,2.75,3.1,4.25,2.67227,80.48947,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,2008.8088762458424,404.6942049224604
Lebanon,Middle East,Middle East & North Africa,2010,14835.37,3.5,2.5,3.25,2.5,3.2,4.25,1.63173,75.30478,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,3596.968410064454,851.5522869210137
Lebanon,Middle East,Middle East & North Africa,2011,15125.82,3.25,2.5,3.25,2.5,3.05,4.0,1.64626,76.13277,12.7,17.0,22.5,40.0,24.8,52.2,-27.4,3996.514090230118,845.7499807732561
Lesotho,Southern Africa,Africa Eastern and Southern,2005,1660.13,3.0,4.0,3.0,3.5,3.3,3.5,14.79096,39.5876,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,381.7827891994838,203.83585561164423
Luxembourg,Europe,Europe & Central Asia,2005,68787.85,3.55,4.1,3.6,2.65,3.62,3.95,4.81376,95.36519,13.0,17.1,22.3,39.4,24.3,52.400000000000006,-28.100000000000005,37805.43923355075,27334.630407302466
Luxembourg,Europe,Europe & Central Asia,2010,90357.1,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,4.81376,101.34617,12.9,17.3,22.9,38.8,23.7,53.1,-29.4,40240.39258274436,27440.924904281062
Madagascar,Eastern Africa,Africa Eastern and Southern,2005,1368.62,4.0,3.5,3.5,3.5,3.6,4.0,3.84818,21.14828,10.8,14.6,20.5,47.5,32.4,45.9,-13.5,90.94987699622358,45.3662618630386
Madagascar,Eastern Africa,Africa Eastern and Southern,2012,1489.63,3.0,3.5,3.0,2.5,2.9,4.0,2.73217,38.02759,10.0,14.1,20.7,49.4,33.5,44.8,-11.299999999999995,108.1492814212949,52.34391871481792
Malawi,Eastern Africa,Africa Eastern and Southern,2010,1468.1,3.0,3.5,3.5,3.0,3.5,3.5,4.35638,33.05596,9.3,13.4,20.0,51.8,36.9,42.7,-5.800000000000004,147.06076771552006,75.31576083577438
Malaysia,East Asia,East Asia & Pacific,2006,17364.5,3.0,3.333333333,3.375,2.875,3.090909091,3.7083333333333335,4.48577,67.96889,9.1,13.9,21.6,50.3,33.8,44.6,-10.800000000000004,4946.433471159848,6060.83697854796
Malaysia,East Asia,East Asia & Pacific,2008,19408.67,3.045454545,3.363636364,3.409090909,3.0,3.181818182,3.8181818181818175,3.95853,66.02975,8.9,13.8,21.8,50.8,34.2,44.5,-10.299999999999995,5626.776816189358,7182.632616857483
Malaysia,East Asia,East Asia & Pacific,2010,20146.96,3.045454545,3.363636364,3.727272727,3.0,3.263636364,3.954545454545455,4.96644,66.82577,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,5731.172613288982,6922.228315252343
Malaysia,East Asia,East Asia & Pacific,2011,21308.22,2.961538462,3.307692308,3.538461538,3.076923077,3.176923077,3.8846153846153846,5.76294,67.1958,9.3,14.1,21.8,49.6,33.2,45.2,-12.0,6427.225691268608,7777.94844839146
Malaysia,East Asia,East Asia & Pacific,2013,22959.2,2.9,3.3,3.4,3.1,3.133333333,3.966666666666667,6.09392,71.0678,10.1,14.7,21.7,47.7,31.8,46.5,-14.7,6829.760841607514,7576.491446187128
Mali,Western Africa,Africa Western and Central,2005,1482.44,3.5,3.5,3.5,3.5,3.4,4.0,4.00927,25.55252,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,117.11186725046625,81.56764508555067
Mali,Western Africa,Africa Western and Central,2010,1732.13,3.5,3.5,4.0,3.5,3.5,4.0,3.85454,38.77258,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,302.88158029711934,128.54903874196586
Malta,Europe,Europe & Central Asia,2007,25062.07,3.75,4.3125,3.75,2.625,3.7375,4.1875,6.31293,100.89894,13.4,17.7,23.1,37.5,22.6,54.2,-31.6,12163.098713132247,7765.312846057769
Malta,Europe,Europe & Central Asia,2008,26523.47,3.875,4.375,3.75,2.5625,3.7875,4.3125,5.8462,99.66492,13.4,17.5,23.1,37.5,22.5,54.0,-31.5,12557.63588508448,7397.8305921896335
Malta,Europe,Europe & Central Asia,2010,28722.45,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,6.91128,98.43982,13.4,17.6,23.0,37.6,22.7,54.0,-31.3,13828.86358043753,8966.664076447258
Malta,Europe,Europe & Central Asia,2011,28973.29,3.75,4.1875,3.875,2.875,3.7375,4.1875,7.96375,85.89744,13.5,17.6,22.6,37.8,23.2,53.7,-30.500000000000004,17767.251933850308,12680.997797092255
Malta,Europe,Europe & Central Asia,2012,30243.98,3.75,4.25,3.875,3.0,3.75,4.3125,6.75966,85.82467,13.5,17.6,22.5,38.0,23.4,53.6,-30.200000000000003,18799.272315178987,13442.604297808715
Mauritania,Western Africa,Africa Western and Central,2008,4227.35,3.5,4.0,3.5,2.5,3.5,4.0,3.55225,18.82466,11.3,16.3,23.4,42.4,26.2,51.0,-24.8,506.47917197594063,503.23491124955774
Mauritania,Western Africa,Africa Western and Central,2010,4181.98,3.0,4.0,3.5,2.5,3.2,4.0,3.60428,20.32848,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,499.4168975753781,531.8763773003991
Mauritius,Eastern Africa,Africa Eastern and Southern,2005,11697.9,3.055555556,3.25,3.277777778,2.805555556,3.144444444,3.4166666666666665,4.20155,88.65556,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,2572.853008416826,1745.4583750592303
Mauritius,Eastern Africa,Africa Eastern and Southern,2006,12586.73,3.055555556,3.25,3.333333333,2.75,3.166666667,3.5277777777777777,3.81812,87.55458,11.7,15.6,21.4,43.8,28.7,48.7,-20.0,2952.464794861572,1890.9050872126004
Mauritius,Eastern Africa,Africa Eastern and Southern,2010,15911.63,2.916666667,3.333333333,3.333333333,2.555555556,3.2,3.555555555555556,3.65578,89.24696,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,3520.738748400512,1479.144532949456
Mauritius,Eastern Africa,Africa Eastern and Southern,2012,17191.91,2.973684211,3.236842105,3.210526316,2.578947368,3.173684211,3.421052631578948,3.4848,91.84192,11.2,15.1,20.6,46.2,31.6,46.9,-15.299999999999995,4595.978271844011,1797.730471493341
Montenegro,Europe,Europe & Central Asia,2015,16332.84,3.4,4.1,3.5,2.6,3.6,4.0,4.81376,90.34223,10.7,16.3,23.5,44.3,27.7,50.5,-22.8,3295.250381333389,567.5068784667585
Mozambique,Eastern Africa,Africa Eastern and Southern,2005,707.53,3.0,3.5,3.5,3.0,3.3,4.0,4.43012,13.09606,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,119.15203239168312,86.35131081839428
Nepal,South Asia,South Asia,2010,2153.13,3.0,4.0,4.0,2.5,3.7,3.5,4.71699,58.79362,12.1,16.2,21.8,41.5,26.4,50.1,-23.7,188.34997535304203,32.185225138152006
Netherlands,Europe,Europe & Central Asia,2005,37625.56,3.55,4.1,3.6,2.65,3.62,3.95,5.15879,119.33037,13.5,17.3,22.5,38.0,23.4,53.3,-29.9,19031.48627605321,21434.79485587751
Netherlands,Europe,Europe & Central Asia,2006,41011.15,3.45,4.1,3.6,2.65,3.6,4.0,5.09047,119.4944,13.3,17.0,22.0,39.0,24.7,52.3,-27.6,21932.41883810702,24512.627397567165
