%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
29.5,3.0,2.5,3.5,2.5,2.49344,39.82736,51.1,122.3394441685248
36.6,3.777777778,4.0,3.555555556,3.444444444,4.709555,68.21743,39.5,291.3654168889986
33.8,3.666666667,3.833333333,3.666666667,3.444444444,3.54055,69.05728,39.9,2808.539404899642
29.8,3.666666667,3.666666667,3.666666667,3.388888889,4.709555,71.34772,40.6,3031.9436593326504
27.6,3.5,3.722222222,3.611111111,3.388888889,3.29343,70.85691,40.7,4309.303299505459
44.9,3.777777778,4.0,3.555555556,3.444444444,4.709555,66.91931,39.8,575.6140025394029
45.3,3.777777778,3.833333333,3.666666667,3.444444444,3.54604,66.24104,38.8,844.9786966169929
39.0,3.666666667,3.666666667,3.666666667,3.388888889,3.76766,68.32355,40.6,1129.6536659678852
37.0,3.5,3.722222222,3.611111111,3.388888889,4.96644,70.39032,39.8,1330.685024604124
31.4,3.444444444,3.611111111,3.611111111,3.388888889,4.96305,76.57348,43.3,1229.5114243324945
55.6,3.777777778,4.0,3.555555556,3.444444444,2.88118,85.44732,41.6,608.0266609543299
49.2,3.722222222,4.0,3.611111111,3.444444444,2.67639,88.07086,42.2,837.3500386771778
42.4,3.777777778,3.833333333,3.666666667,3.444444444,2.6294,90.51896,42.400000000000006,981.9652179881342
37.3,3.666666667,3.833333333,3.666666667,3.444444444,2.84365,91.04757,44.400000000000006,1086.1629749305575
33.5,3.611111111,3.777777778,3.611111111,3.5,3.13037,93.40124,44.3,921.7125395812368
30.8,3.666666667,3.666666667,3.666666667,3.388888889,2.84742,94.70003,45.400000000000006,1313.8137200674714
27.8,3.5,3.722222222,3.611111111,3.388888889,2.68161,95.20703,46.2,1573.595934346485
25.8,3.444444444,3.611111111,3.611111111,3.388888889,2.92164,93.43105,46.3,1762.5814361136215
23.9,3.444444444,3.555555556,3.611111111,3.5,3.28523,97.89767,46.6,1601.7405605858075
22.7,3.444444444,3.5,3.611111111,3.5,3.66254,95.62184,47.0,1273.1737958033866
26.6,3.0,3.333333333,3.375,2.875,2.53381,81.23679,41.900000000000006,539.3529877959886
26.3,3.045454545,3.363636364,3.590909091,2.954545455,2.65295,84.25254,42.2,413.5240751146318
18.5,3.55,4.1,3.6,2.65,5.07074,98.02078,47.3,3681.8864637215056
18.1,3.45,4.1,3.6,2.65,4.90801,98.58061,47.9,4255.484715491536
18.5,3.75,4.3125,3.75,2.625,4.92191,102.07882,49.0,4978.069378212806
17.9,3.875,4.375,3.75,2.5625,4.70212,103.83484,49.1,5421.985711453786
17.9,3.777777778,4.277777778,3.777777778,2.611111111,5.56215,106.07156,50.3,4187.069043427921
18.0,3.777777778,4.277777778,3.833333333,2.666666667,5.40289,106.94795,49.6,4673.563218734335
17.9,3.75,4.1875,3.875,2.875,5.12127,106.81678,49.3,5644.135755326041
23.6,3.75,4.3125,3.75,2.625,4.22328,89.2293,51.2,1937.9751358623016
21.6,3.777777778,4.277777778,3.777777778,2.611111111,4.16182,97.94383,52.4,1992.3308962362416
22.3,3.777777778,4.277777778,3.833333333,2.666666667,3.45849,100.23869,53.1,2440.544324256326
22.9,3.75,4.1875,3.875,2.875,3.02775,100.41964,53.3,3111.6473150453
23.0,3.75,4.25,3.875,3.0,2.93955,99.36214,52.900000000000006,2886.8396347897487
39.1,4.5,4.0,4.5,3.5,5.02795,40.15979,41.8,56.069662268823166
48.3,3.5,3.5,3.5,3.0,5.13697,22.01669,48.0,134.02583666186536
24.5,3.75,4.25,3.875,3.0,4.42657,94.16962,50.400000000000006,1559.7875526265382
11.6,3.55,4.1,3.6,2.65,5.58241,97.12325,55.5,8945.891833135547
11.5,3.45,4.1,3.6,2.65,5.57559,96.83547,55.6,10455.452421883252
12.3,3.75,4.3125,3.75,2.625,5.10509,98.25645,55.5,13156.351312259616
11.3,3.875,4.375,3.75,2.5625,5.10609,98.10135,55.8,14472.217258954068
12.7,3.777777778,4.277777778,3.777777778,2.611111111,5.56859,97.79404,55.5,10984.829044810702
13.6,3.777777778,4.277777778,3.833333333,2.666666667,5.56251,97.85898,55.6,11927.635942502697
13.5,3.75,4.1875,3.875,2.875,5.56563,97.8459,55.5,14119.022454225676
14.5,3.75,4.25,3.875,3.0,5.66161,97.85595,55.4,13163.796075558574
66.6,3.055555556,3.25,3.277777778,2.805555556,5.06321,88.91318,26.4,958.6654754304652
62.1,2.972222222,3.25,3.25,2.694444444,4.86601,89.49576,28.8,1462.7579986651851
53.2,2.916666667,3.333333333,3.333333333,2.555555556,5.72173,90.25352,28.6,1589.8166543199902
55.5,3.027777778,3.305555556,3.277777778,2.555555556,6.05628,93.80908,29.5,1691.7864432099946
20.3,3.55,4.1,3.6,2.65,4.13003,117.51314,53.4,4416.351675734847
19.7,3.45,4.1,3.6,2.65,4.1676,117.54267,52.9,4819.887250307547
19.8,3.75,4.3125,3.75,2.625,4.23331,117.50554,52.2,5611.240088391567
20.4,3.875,4.375,3.75,2.5625,4.501,117.6678,52.400000000000006,6075.5667147464255
20.7,3.777777778,4.277777778,3.777777778,2.611111111,4.86781,118.39464,52.3,4811.983921974544
20.6,3.777777778,4.277777778,3.833333333,2.666666667,4.81924,124.38406,52.0,5315.203927340823
20.8,3.75,4.1875,3.875,2.875,4.86651,128.59216,52.2,6401.157992260031
20.4,3.75,4.25,3.875,3.0,4.4189,131.03416,52.3,6214.695238690695
