%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
11.4,3.75,4.3125,3.75,2.625,3.7375,4.1875,6.53527,113.62567,14.1,17.5,22.6,36.5,22.2,54.2,16987.65063093257,28813.9660635093
11.7,3.875,4.375,3.75,2.5625,3.7875,4.3125,6.28934,112.7376,14.2,17.7,22.8,36.2,21.8,54.7,18759.031076114697,35442.8211767606
11.2,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,7.09981,111.69433,14.4,17.9,22.8,35.6,21.3,55.1,14173.16164456049,24084.181341770065
10.5,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,6.74995,113.23055,14.5,18.0,22.8,35.3,21.0,55.3,15816.358947135472,26723.268187240094
10.0,3.75,4.1875,3.875,2.875,3.7375,4.1875,6.45617,112.98291,14.4,18.2,23.0,34.8,20.5,55.6,18328.667070724365,32385.821021552616
10.9,3.75,4.25,3.875,3.0,3.75,4.3125,7.37182,110.72072,14.4,18.1,22.9,35.2,20.9,55.4,17396.933665406483,32071.309392729767
50.4,4.0,2.0,3.5,2.5,3.1,4.0,2.25436,26.50006,12.8,16.0,20.8,41.1,27.1,49.6,143.92540772778912,92.04569373249154
44.1,4.0,2.0,3.5,2.5,3.1,4.0,2.63527,34.70948,13.1,16.3,21.1,39.8,25.7,50.5,179.16186278704012,98.05388787034376
36.8,3.5,2.0,3.5,2.5,2.9,3.5,2.28688,35.84846,13.3,16.6,21.3,38.9,25.1,51.2,193.03757754166224,110.11883448949584
36.3,3.0,2.5,3.5,2.5,3.1,3.5,2.22175,36.7116,13.1,16.4,21.1,39.8,25.8,50.6,219.4242620159648,127.6103688711482
29.5,3.0,2.5,3.5,2.5,3.1,3.5,2.49344,39.82736,13.2,16.6,21.3,39.4,25.3,51.1,213.1864368049719,122.3394441685248
36.6,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,4.709555,68.21743,6.9,11.9,20.7,57.7,40.2,39.5,1256.0954805213034,291.3654168889986
33.8,3.666666667,3.833333333,3.666666667,3.444444444,3.611111111,4.277777777777778,3.54055,69.05728,7.5,12.4,20.0,57.0,40.7,39.9,4502.222125806374,2808.539404899642
29.8,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,4.709555,71.34772,7.8,12.6,20.2,56.0,39.7,40.6,4618.894147753474,3031.9436593326504
27.6,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,3.29343,70.85691,7.8,12.6,20.3,55.8,39.7,40.7,6338.797839277746,4309.303299505459
44.9,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,4.709555,66.91931,7.9,12.2,19.7,56.3,40.4,39.8,595.2433108789351,575.6140025394029
45.3,3.777777778,3.833333333,3.666666667,3.444444444,3.5625,4.277777777777778,3.54604,66.24104,7.8,12.1,18.9,57.6,42.5,38.8,1050.9212197536915,844.9786966169929
39.0,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,3.76766,68.32355,8.1,12.8,19.7,55.6,40.5,40.6,1739.3203270872912,1129.6536659678852
37.0,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,4.96644,70.39032,7.7,12.5,19.6,56.7,41.4,39.8,2116.0600161979787,1330.685024604124
31.4,3.444444444,3.611111111,3.611111111,3.388888889,3.533333333,4.222222222222222,4.96305,76.57348,8.8,13.8,20.7,52.5,36.9,43.3,1950.786460705665,1229.5114243324945
55.6,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,2.88118,85.44732,7.8,13.0,20.8,54.7,38.5,41.6,444.1578603350727,608.0266609543299
49.2,3.722222222,4.0,3.611111111,3.444444444,3.5875,4.111111111111111,2.67639,88.07086,7.9,13.2,21.1,54.5,38.2,42.2,539.4988460621545,837.3500386771778
42.4,3.777777778,3.833333333,3.666666667,3.444444444,3.5625,4.277777777777778,2.6294,90.51896,8.0,13.3,21.1,54.2,37.8,42.400000000000006,712.1679220634322,981.9652179881342
37.3,3.666666667,3.833333333,3.666666667,3.444444444,3.611111111,4.277777777777778,2.84365,91.04757,8.6,14.0,21.8,51.8,35.4,44.400000000000006,1039.8045699560705,1086.1629749305575
33.5,3.611111111,3.777777778,3.611111111,3.5,3.566666667,4.277777777777778,3.13037,93.40124,8.7,13.9,21.7,51.6,35.2,44.3,751.9483231358081,921.7125395812368
30.8,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,2.84742,94.70003,9.2,14.4,21.8,50.3,34.2,45.400000000000006,1240.27276896699,1313.8137200674714
27.8,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,2.68161,95.20703,9.4,14.8,22.0,49.5,33.5,46.2,1285.4126426601974,1573.595934346485
25.8,3.444444444,3.611111111,3.611111111,3.388888889,3.533333333,4.222222222222222,2.92164,93.43105,9.5,14.8,22.0,49.3,33.3,46.3,1976.3527080843369,1762.5814361136215
23.9,3.444444444,3.555555556,3.611111111,3.5,3.533333333,4.222222222222222,3.28523,97.89767,9.6,14.9,22.1,48.9,32.7,46.6,2016.5538863571453,1601.7405605858075
22.7,3.444444444,3.5,3.611111111,3.5,3.522222222,4.222222222222222,3.66254,95.62184,9.8,15.0,22.2,48.3,32.1,47.0,1389.512617349023,1273.1737958033866
26.6,3.0,3.333333333,3.375,2.875,3.090909091,3.7083333333333335,2.53381,81.23679,8.5,12.8,20.6,53.1,36.6,41.900000000000006,615.2088833185337,539.3529877959886
26.3,3.045454545,3.363636364,3.590909091,2.954545455,3.218181818,4.0,2.65295,84.25254,8.8,13.0,20.4,52.5,36.3,42.2,493.5905573599719,413.5240751146318
18.5,3.55,4.1,3.6,2.65,3.62,3.95,5.07074,98.02078,11.3,15.0,21.0,46.1,30.6,47.3,6084.140319974713,3681.8864637215056
18.1,3.45,4.1,3.6,2.65,3.6,4.0,4.90801,98.58061,11.1,15.1,21.7,45.4,29.7,47.9,6719.751576083072,4255.484715491536
